epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7842,4.89332,6.75321,7.55841,3.88839,0,0,0,0,0,0,0,0,5.94078,4.83391,9.51045,5.39763,6e-05,6e-05,6e-05
2,30.9996,4.61307,6.15011,7.79536,3.49912,0,0,0,0,0,0,0,0,5.84659,4.9996,9.21251,5.21323,0.00013307,0.00013307,0.00013307
3,45.5321,4.69546,5.56738,7.91467,3.65428,0,0,0,0,0,0,0,0,4.2843,4.9717,7.64692,2.78251,0.00019822,0.00019822,0.00019822
4,60.0738,3.02412,3.74094,5.26772,1.97877,0.00122,0.36667,0.00154,0.00057,0.00122,0.36667,0.00154,0.00046,2.61127,2.91451,5.33437,1.4609,0.00025545,0.00025545,0.00025545
5,74.6734,1.94463,2.49236,3.92235,1.17386,0.00222,0.66667,0.0048,0.00172,0.00222,0.66667,0.0048,0.00152,2.29704,3.11214,4.8063,1.29295,0.00030476,0.00030476,0.00030476
6,89.8221,1.77267,2.07817,3.68186,1.10471,0.002,0.6,0.00438,0.00133,0.00233,0.7,0.00524,0.00154,2.1108,3.83531,4.43986,1.26602,0.00034615,0.00034615,0.00034615
7,104.52,1.69064,2.77745,2.87612,1.01868,0.00211,0.63333,0.00469,0.00143,0.00233,0.7,0.00531,0.00177,1.97533,3.93093,4.48218,1.18897,0.00037962,0.00037962,0.00037962
8,119.433,1.80983,2.68064,3.03542,1.10648,0.002,0.6,0.00408,0.00141,0.002,0.6,0.00408,0.00144,2.03561,3.87937,4.75188,1.22487,0.00040517,0.00040517,0.00040517
9,141.095,1.50971,2.08854,2.28694,1.00568,0.002,0.6,0.00392,0.00114,0.002,0.6,0.00371,0.0012,2.10037,3.11019,4.87096,1.25844,0.0004228,0.0004228,0.0004228
10,155.943,1.53781,1.96933,2.13705,1.01463,0.00189,0.56667,0.00314,0.00133,0.002,0.6,0.00327,0.00144,1.90692,2.53613,4.50431,1.16072,0.00043251,0.00043251,0.00043251
11,196.617,1.37013,2.15787,2.08005,0.98591,0.00178,0.53333,0.00265,0.00098,0.00189,0.56667,0.00276,0.00121,1.82899,2.46143,4.5364,1.11391,0.0004343,0.0004343,0.0004343
12,210.811,1.4103,1.79496,2.01353,1.01175,0.00211,0.63333,0.00324,0.00131,0.00233,0.7,0.00378,0.00144,1.64495,2.16113,4.49003,1.04351,0.00042817,0.00042817,0.00042817
13,225.191,1.30583,1.84325,1.93858,0.96996,0.00244,0.73333,0.0043,0.00153,0.00244,0.73333,0.0043,0.00182,1.73954,2.09936,4.3197,1.05495,0.00041412,0.00041412,0.00041412
14,239.433,1.25559,1.71845,1.63619,0.98759,0.00267,0.8,0.00499,0.0017,0.00278,0.83333,0.00489,0.00184,1.70362,2.132,4.14602,1.05278,0.00039215,0.00039215,0.00039215
15,253.674,1.15426,1.46024,1.67645,0.9568,0.00278,0.83333,0.04016,0.01951,0.00278,0.83333,0.03973,0.02307,1.61258,2.00007,3.91427,1.01067,0.00036226,0.00036226,0.00036226
16,274.833,1.25986,1.62072,1.68802,0.93503,0.00267,0.8,0.16896,0.10792,0.00267,0.8,0.16896,0.09693,1.50094,2.09524,3.66577,0.97987,0.00032445,0.00032445,0.00032445
17,289.169,1.07836,1.41294,1.54937,0.93667,0.00278,0.83333,0.23873,0.16207,0.003,0.9,0.23877,0.13691,1.38831,2.32696,3.52556,0.961,0.00027872,0.00027872,0.00027872
18,303.514,1.04509,1.54496,1.65919,0.94824,0.00289,0.86667,0.31551,0.22041,0.00289,0.86667,0.31539,0.19081,1.30296,2.27694,3.38999,0.94952,0.00022507,0.00022507,0.00022507
19,318.439,1.14904,1.59195,1.64669,0.98625,0.00289,0.86667,0.40718,0.28449,0.00289,0.86667,0.40717,0.2627,1.30296,2.16207,3.32388,0.94749,0.0001635,0.0001635,0.0001635
20,332.596,1.05075,1.63886,1.602,0.94787,0.00289,0.86667,0.51891,0.3557,0.003,0.9,0.51907,0.32191,1.31182,2.10613,3.23772,0.9459,9.401e-05,9.401e-05,9.401e-05
